Email_ID,Sender_Name,Sender_Type,Subject,Email_Body,Category,Response_Action,Sensitivity_Level,Requires_HOD_Intervention,Auto_Response
45,Benjamin Hall,Researcher,Inquiry on Shared Resources,"""Can you provide details on shared resources available for researchers?""",Academic Collaboration Inquiries,Provide resources info,Medium,No,Yes
46,Ava Wright,Student,Query on Career Counseling,"""How can I schedule an appointment with a career counselor?""",Student Inquiries,Provide counseling details,Low,No,Yes
47,Christopher Lewis,Corporate,Internship Collaboration Inquiry,"""We would like to discuss internship opportunities for your students.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
48,Hannah Baker,Researcher,Data Analysis Request,"""Could you assist with data analysis for my ongoing research?""",Academic Collaboration Inquiries,Provide analysis info,Medium,No,Yes
49,Matthew Turner,Student,Query on Class Prerequisites,"""What are the prerequisites for enrolling in class JKL?""",Student Inquiries,Provide prerequisite details,Low,No,Yes
50,Grace King,Corporate,Corporate Training Proposal,"""We would like to offer corporate training sessions for your faculty.""",Corporate Inquiries,Escalate to HOD,Medium,Yes,No
51,Daniel Wilson,Researcher,Equipment Usage Inquiry,"""Can I use the laboratory equipment for my research project?""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
52,Mia Robinson,Student,Clarification on Grades,"""Can you clarify how the grades are calculated?""",Student Inquiries,Provide grading info,Low,No,Yes
53,James Johnson,Corporate,Job Placement Inquiry,"""We are looking for graduates to fill positions in our company.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
54,Ella White,Researcher,Conference Participation Inquiry,"""Could you help me with details on participating in the upcoming conference?""",Academic Collaboration Inquiries,Provide conference details,Medium,No,Yes
55,Benjamin Green,Student,Course Feedback Submission,"""I would like to submit feedback regarding the course I attended.""",Student Inquiries,Provide feedback submission info,Low,No,Yes
56,Samuel Walker,Corporate,Research Sponsorship Proposal,"""We are interested in sponsoring your research activities.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
57,Chloe Brown,Researcher,Collaboration Inquiry,"""I would like to discuss a potential collaboration for my research.""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
58,Lucas Taylor,Student,Query on Course Registration,"""How do I register for courses for next semester?""",Student Inquiries,Provide registration info,Low,No,Yes
59,Ella Carter,Corporate,Internship Program Inquiry,"""We are interested in setting up an internship program for your students.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
60,Ava Lewis,Researcher,Request for Lab Access,"""Can I get access to the lab for my project work?""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
61,Aiden Wright,Student,Request for Academic Calendar,"""Can you provide the academic calendar for this year?""",Student Inquiries,Provide calendar info,Low,No,Yes
62,Ella Young,Corporate,Job Fair Participation Inquiry,"""We would like to participate in the upcoming job fair at your university.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
63,Noah Hall,Researcher,Data Sharing Inquiry,"""Can you provide access to the data from your recent research?""",Academic Collaboration Inquiries,Provide data access details,Medium,No,Yes
64,Lily King,Student,Course Withdrawal Inquiry,"""What is the procedure to withdraw from a course?""",Student Inquiries,Provide withdrawal procedure,Low,No,Yes
65,Jacob Turner,Corporate,Seminar Collaboration Proposal,"""We would like to collaborate on a seminar focusing on AI and machine learning.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
66,Mia White,Researcher,Inquiry on Research Symposium,"""Can you provide details about the upcoming research symposium?""",Academic Collaboration Inquiries,Provide symposium details,Medium,No,Yes
67,William Johnson,Student,Question about Attendance Policy,"""What is the attendance policy for online classes?""",Student Inquiries,Provide attendance details,Low,No,Yes
68,Scarlett Lee,Corporate,Industry Partnership Discussion,"""We would like to discuss a potential partnership with your department.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
69,Evelyn Brown,Researcher,Request for Research Collaboration,"""I am interested in collaborating on a research project related to AI.""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
70,Matthew Martin,Student,Query about Class Assignments,"""Can you provide information about the assignments for class MNO?""",Student Inquiries,Provide assignment details,Low,No,Yes
71,Olivia Jones,Corporate,Funding Inquiry,"""We would like to discuss potential funding opportunities for your research.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
72,Ethan White,Researcher,Collaboration Opportunity,"""I would like to propose a collaboration for my research on machine learning.""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
73,Chloe Martin,Student,Course Materials Request,"""Can you send me the materials for the course I am enrolled in?""",Student Inquiries,Provide materials,Low,No,Yes
74,Lucas Lewis,Corporate,Proposal for Sponsored Research,"""We would like to sponsor your upcoming research project.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
75,Sofia Smith,Researcher,Inquiry on Equipment Availability,"""Can I check the availability of equipment for my project?""",Academic Collaboration Inquiries,Provide equipment availability,Medium,No,Yes
76,James Taylor,Student,Clarification on Internship Process,"""Can you clarify the internship application process?""",Student Inquiries,Provide internship details,Low,No,Yes
77,Hannah Davis,Corporate,Job Placement Inquiry,"""We are interested in hiring graduates from your department.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
78,Grace Brown,Researcher,Request for Access to Data,"""Can I get access to the dataset related to my research project?""",Academic Collaboration Inquiries,Provide data access info,Medium,No,Yes
79,Daniel Johnson,Student,Inquiry on Final Project Guidelines,"""What are the guidelines for the final project in class PQR?""",Student Inquiries,Provide project guidelines,Low,No,Yes
80,Isabella Lewis,Corporate,Collaboration on Research,"""We would like to collaborate on research projects in AI.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
81,Elijah Hall,Researcher,Inquiry on Joint Research,"""I would like to discuss a joint research project on environmental sustainability.""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
82,Mia Wilson,Student,Feedback on Class,"""I would like to give feedback regarding my experience in class STU.""",Student Inquiries,Provide feedback procedure,Low,No,Yes
83,Alexander Young,Corporate,Job Fair Participation Inquiry,"""We would like to participate in your university's job fair.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
84,Amelia Taylor,Researcher,Inquiry on Funding Opportunities,"""Could you provide information on funding opportunities for my research?""",Academic Collaboration Inquiries,Provide funding info,Medium,No,Yes
85,Lucas Green,Student,Clarification on Class Schedule,"""Can you provide clarification on the class schedule for this semester?""",Student Inquiries,Provide schedule details,Low,No,Yes
86,Ella Robinson,Corporate,Internship Program Inquiry,"""We would like to discuss potential internship programs with your students.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
87,Liam Johnson,Researcher,Inquiry on Research Facilities,"""Can I access your research facilities for my project?""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
88,Ava Lee,Student,Request for Academic Support,"""Can you provide information on academic support services?""",Student Inquiries,Provide support details,Low,No,Yes
89,Benjamin Smith,Corporate,Request for Guest Lecture,"""We would like to offer a guest lecture on emerging technologies.""",Corporate Inquiries,Escalate to HOD,Medium,Yes,No
90,Lily Taylor,Researcher,Collaboration Inquiry,"""I am interested in collaborating on research related to AI applications.""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
91,Oliver Brown,Student,Query on Scholarship Opportunities,"""What scholarships are available for undergraduate students?""",Student Inquiries,Provide scholarship details,Low,No,Yes
92,Ava Johnson,Corporate,Proposal for Research Collaboration,"""We would like to collaborate on a research project focusing on data science.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
93,Ethan Martin,Researcher,Inquiry on Research Partnerships,"""I would like to explore potential partnerships for my research project.""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
94,Grace White,Student,Request for Course Schedule,"""Can you send me the course schedule for the upcoming semester?""",Student Inquiries,Provide schedule info,Low,No,Yes
95,James Wilson,Corporate,Inquiry on Career Fair,"""We would like to inquire about participating in your upcoming career fair.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
96,Chloe Green,Researcher,Inquiry on Lab Access,"""Can I get access to your laboratory for my research?""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
97,Michael Lee,Student,Request for Feedback,"""Can you provide a platform for giving feedback on courses?""",Student Inquiries,Provide feedback procedure,Low,No,Yes
98,Lily Hall,Corporate,Inquiry on Sponsorship,"""We are interested in sponsoring an event at your university.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
99,Benjamin Taylor,Researcher,Inquiry on Research Funding,"""Could you help me with details on funding opportunities for my project?""",Academic Collaboration Inquiries,Provide funding info,Medium,No,Yes
100,Sophia White,Student,Clarification on Major Requirements,"""What are the requirements for declaring a major?""",Student Inquiries,Provide major requirements info,Low,No,Yes
101,Ethan Clark,Corporate,Job Placement Inquiry,"""We are looking to place interns from your department.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
102,Mia Young,Researcher,Inquiry on Collaborative Research,"""I would like to propose a collaborative research project on machine learning.""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
103,Lucas Martin,Student,Request for Thesis Guidelines,"""Can you provide the guidelines for writing a thesis?""",Student Inquiries,Provide thesis guidelines,Low,No,Yes
104,Ella King,Corporate,Request for Research Collaboration,"""We are interested in collaborating on a research project in AI.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
105,Daniel Johnson,Researcher,Inquiry on Equipment Availability,"""Can you check if equipment is available for my upcoming project?""",Academic Collaboration Inquiries,Provide equipment availability,Medium,No,Yes
106,Olivia Taylor,Student,Request for Degree Requirements,"""What are the requirements to obtain a degree in this program?""",Student Inquiries,Provide degree requirements info,Low,No,Yes
107,Jacob Wilson,Corporate,Request for Internship Opportunities,"""We are interested in offering internships for your students.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
108,Ava Robinson,Researcher,Inquiry on Academic Partnerships,"""I would like to discuss potential academic partnerships for research.""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
109,Mia Green,Student,Request for Class Notes,"""Can you provide notes from the last class?""",Student Inquiries,Provide class notes,Low,No,Yes
110,Liam Brown,Corporate,Proposal for Collaborative Research,"""We would like to propose a collaborative research project focusing on sustainability.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
111,Isabella Hall,Researcher,Inquiry on Conference Participation,"""Can you provide details on participating in the upcoming AI conference?""",Academic Collaboration Inquiries,Provide conference details,Medium,No,Yes
112,Samuel Lewis,Student,Clarification on Attendance Policy,"""What is the attendance policy for this semester?""",Student Inquiries,Provide attendance policy,Low,No,Yes
113,Charlotte Taylor,Corporate,Request for Job Fair Participation,"""We are interested in participating in your job fair.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
114,Benjamin Young,Researcher,Inquiry on Research Grants,"""Can I get information on available research grants?""",Academic Collaboration Inquiries,Provide grant info,Medium,No,Yes
115,Ella Robinson,Student,Request for Course Evaluation,"""Can you provide the course evaluation form?""",Student Inquiries,Provide evaluation form,Low,No,Yes
116,Noah Smith,Corporate,Proposal for Research Sponsorship,"""We would like to sponsor your research initiatives.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
117,Grace Johnson,Researcher,Inquiry on Data Sharing,"""Can we discuss sharing data for our collaborative research?""",Academic Collaboration Inquiries,Escalate to HOD,Medium,Yes,No
118,James Lee,Student,Clarification on Academic Policies,"""What are the academic policies regarding plagiarism?""",Student Inquiries,Provide academic policies info,Low,No,Yes
119,Mia White,Corporate,Job Placement Program Inquiry,"""We are looking to establish a job placement program with your department.""",Corporate Inquiries,Escalate to HOD,High,Yes,No
120,Lily Taylor,Researcher,Inquiry on Research Symposium,"""Can you provide details on the upcoming research symposium?""",Academic Collaboration Inquiries,Provide symposium details,Medium,No,Yes
